Wall time,Step,Value
1618125145.3533936,5653,276.5299377441406
1618125153.6094258,5654,240.10731506347656
1618125161.0008292,5655,275.44403076171875
1618125167.3903754,5656,262.1444091796875
1618125182.453977,5657,94.43870544433594
1618125189.1229064,5658,274.2135925292969
1618125198.6787863,5659,241.69920349121094
1618125212.8225024,5660,277.1006164550781
1618125221.8688962,5661,265.47802734375
1618125236.9607024,5662,77.4878158569336
1618125253.5901327,5664,263.7778625488281
1618125264.6474042,5665,288.2850341796875
1618125271.2051275,5666,33.06232452392578
1618125279.7780902,5667,273.54345703125
1618125285.2371209,5668,254.181640625
1618125300.1873012,5669,85.25735473632812
1618125305.9963088,5670,259.18853759765625
1618125314.4805007,5671,271.5738220214844
1618125320.7839065,5672,284.56207275390625
1618125326.8892324,5673,262.3013610839844
1618125335.436551,5674,282.70916748046875
1618125342.35402,5675,283.4790344238281
1618125349.1684403,5676,263.14892578125
1618125356.033141,5677,262.36383056640625
1618125371.0083077,5678,101.85564422607422
1618125379.386537,5679,259.6102294921875
1618125385.0458896,5680,276.1539306640625
1618125400.0141618,5681,62.85686111450195
1618125406.4975982,5682,260.1363525390625
1618125412.6944668,5683,263.166015625
1618125418.7387595,5684,278.5732421875
1618125424.6035364,5685,243.17977905273438
1618125430.6855648,5686,278.1199035644531
1618125436.1753938,5687,277.8232421875
1618125445.7111027,5688,267.7380065917969
1618125451.2815046,5689,235.430908203125
1618125460.9948406,5690,285.5747985839844
1618125467.3269362,5691,250.74977111816406
1618125474.4673116,5692,276.5365295410156
1618125480.1454206,5693,260.6137390136719
1618125488.3057458,5694,274.9427795410156
1618125496.8178005,5695,255.80429077148438
1618125504.807962,5696,292.5160827636719
1618125514.657221,5697,275.82989501953125
1618125527.1246722,5699,268.224609375
1618125536.093844,5700,299.1861877441406
1618125544.158912,5701,317.43280029296875
1618125551.7331975,5702,274.85662841796875
1618125560.3846152,5703,283.3121643066406
1618125567.8265126,5704,254.44898986816406
1618125574.3521526,5705,250.779296875
1618125583.6006813,5706,254.238525390625
1618125593.7257586,5707,279.1609191894531
1618125601.1663845,5708,287.0276184082031
1618125610.0027103,5709,303.05181884765625
1618125613.502488,5710,0.631572425365448
1618125620.9234002,5711,272.8963928222656
1618125627.458646,5712,264.7499084472656
1618125633.4332595,5713,262.21173095703125
1618125639.848063,5714,267.9841003417969
1618125648.8971212,5715,257.5444030761719
1618125658.9155574,5716,277.4736022949219
1618125665.3780289,5717,305.781982421875
1618125671.9749107,5718,264.7000427246094
1618125682.3629153,5719,303.41973876953125
1618125692.2313058,5720,237.81077575683594
1618125698.0018866,5721,237.66162109375
1618125704.5839326,5722,287.1736145019531
1618125710.248429,5723,248.95196533203125
1618125716.0815182,5724,252.58425903320312
1618125722.2888007,5725,257.5247802734375
1618125729.2271106,5726,263.72900390625
1618125741.9508698,5728,258.40478515625
1618125748.5096633,5729,246.61679077148438
1618125754.0205593,5730,246.07083129882812
1618125759.9010844,5731,254.73130798339844
1618125774.5421383,5732,254.8252716064453
1618125789.3808844,5733,64.9807357788086
1618125798.4632788,5734,308.95416259765625
1618125803.8676598,5735,272.3756408691406
1618125809.5253942,5736,247.67942810058594
1618125818.3334002,5737,271.2699890136719
1618125825.4835038,5738,244.70603942871094
1618125833.0201979,5739,261.7097473144531
1618125839.4882724,5740,261.06060791015625
1618125844.6295934,5741,-0.9436038136482239
1618125855.9398277,5742,261.6298828125
1618125866.5657897,5743,260.6651916503906
1618125875.7970717,5744,244.6901397705078
1618125883.325567,5745,301.46905517578125
1618125892.9653423,5746,273.7554626464844
1618125901.0118854,5747,252.63624572753906
1618125915.963427,5748,89.30258178710938
1618125922.1678333,5749,249.1726837158203
1618125928.9687345,5750,274.82244873046875
